id x y phenotype1 envi phenotype2 
0 0.378696 0.288579 0.312079 0.482785 0.312079
1 0.81591 0.13144 0.517532 -0.000166999 0.517532
2 0.755888 0.773456 -0.175274 0.338527 -0.175274
3 0.228549 0.976219 -0.708802 -0.320663 -0.708802
4 0.396946 0.77446 0.160241 0.0547126 0.160241
5 0.373088 0.289082 0.774061 0.484358 0.774061
6 0.314988 0.89728 0.371611 -0.00488202 0.371611
7 0.377771 0.452214 0.7116 0.463407 0.7116
8 0.527922 0.0111627 -0.224329 0.746716 -0.224329
9 0.886724 0.961395 -1.05196 -0.354876 -1.05196
10 0.903979 0.771724 -0.623382 -0.915238 -0.623382
11 0.896999 0.470673 -0.61996 -0.254991 -0.61996
12 0.0658251 0.169836 0.269696 -0.0369438 0.269696
13 0.0324812 0.419336 0.909263 -1.13911 0.909263
14 0.857005 0.778123 -0.642898 -0.507271 -0.642898
15 0.397881 0.460007 -0.307012 0.547712 -0.307012
16 0.167691 0.454539 -0.0600059 -0.579454 -0.0600059
17 0.905369 0.752661 0.107571 -0.976146 0.107571
18 0.886641 0.956539 -0.212213 -0.365098 -0.212213
19 0.0747425 0.166937 -0.173117 -0.0223023 -0.173117
20 0.53838 0.199841 0.638086 0.380243 0.638086
21 0.396608 0.296913 -1.13245 0.480528 -1.13245
22 0.670161 0.17071 -1.29533 0.314138 -1.29533
23 0.17803 0.449925 -0.986224 -0.490642 -0.986224
24 0.0266528 0.642764 -0.804815 -1.08528 -0.804815
25 0.197206 0.458059 -0.0853261 -0.409637 -0.0853261
26 0.0311255 0.330516 -0.466558 -0.402837 -0.466558
27 0.153889 0.0210624 0.0096627 -0.232816 0.0096627
28 0.598215 0.891082 -0.0104731 0.636069 -0.0104731
29 0.0317799 0.303126 0.407379 -0.171546 0.407379
30 0.806719 0.335971 0.775843 -0.094844 0.775843
31 0.949664 0.19484 -0.675599 -0.727414 -0.675599
32 0.481467 0.561993 0.848494 0.817819 0.848494
33 0.165425 0.0259583 0.609986 -0.154185 0.609986
34 0.148177 0.852651 0.28851 -0.546534 0.28851
35 0.862747 0.774579 -0.545663 -0.561091 -0.545663
36 0.873361 0.0095772 0.439818 -0.116642 0.439818
37 0.342265 0.990147 0.590764 0.3143 0.590764
38 0.736917 0.536895 0.306368 0.304984 0.306368
39 0.0294273 0.809226 0.582299 -0.657658 0.582299
40 0.971736 0.339049 -0.373322 -0.717638 -0.373322
41 0.0238459 0.407261 0.496258 -1.08378 0.496258
42 0.865643 0.602583 -0.498753 -0.326887 -0.498753
43 0.308884 0.670619 0.0661233 -0.159305 0.0661233
44 0.277534 0.583903 -0.332011 -0.173314 -0.332011
45 0.320809 0.887965 0.0811607 0.00612328 0.0811607
46 0.185192 0.0326883 -0.127978 -0.028175 -0.127978
47 0.86179 0.0220587 0.00248331 -0.0668692 0.00248331
48 0.74825 0.765897 0.341199 0.393312 0.341199
49 0.30868 0.0103303 -0.597171 0.397829 -0.597171
50 0.165903 0.674419 -1.189 -0.583258 -1.189
51 0.625889 0.593851 -0.391066 0.551705 -0.391066
52 0.518784 0.0220235 0.546168 0.732029 0.546168
53 0.620058 0.604189 -0.0471502 0.549227 -0.0471502
54 0.523302 0.680276 0.373771 0.509086 0.373771
55 0.658794 0.184529 -0.920001 0.295057 -0.920001
56 0.397636 0.485258 -0.205286 0.556928 -0.205286
57 0.0368208 0.175716 -0.948504 -0.0966964 -0.948504
58 0.901731 0.757216 -0.483204 -0.932472 -0.483204
59 0.284319 0.604648 -0.460732 -0.168548 -0.460732
60 0.638039 0.169118 0.154589 0.347144 0.154589
61 0.0631449 0.415748 -0.554993 -0.942098 -0.554993
62 0.387975 0.481309 0.404437 0.508919 0.404437
63 0.791912 0.927411 -0.0743941 0.0623469 -0.0743941
64 0.313471 0.911638 -0.221975 0.0123414 -0.221975
65 0.99704 0.0677661 -0.497333 -0.878651 -0.497333
66 0.714986 0.954222 -0.936064 0.377728 -0.936064
67 0.292348 0.00815245 -0.8685 0.364318 -0.8685
68 0.378902 0.44828 0.454146 0.46832 0.454146
69 0.888844 0.0209578 0.755468 -0.223128 0.755468
70 0.476851 0.950301 0.538294 0.956691 0.538294
71 0.483824 0.930244 -0.0510908 0.919767 -0.0510908
72 0.00984986 0.814391 -1.10398 -0.695515 -1.10398
73 0.027853 0.300029 -0.185271 -0.156948 -0.185271
74 0.0406002 0.782225 -1.28378 -0.580398 -1.28378
75 0.375518 0.283459 0.43369 0.484667 0.43369
76 0.886739 0.955413 -0.125767 -0.368003 -0.125767
77 0.948555 0.568311 -1.28398 -0.6472 -1.28398
78 0.11658 0.00841642 -1.05146 -0.487947 -1.05146
79 0.982187 0.0757913 -0.477385 -0.802018 -0.477385
80 0.604043 0.895293 -0.650826 0.631719 -0.650826
81 0.870803 0.60242 -1.06179 -0.354943 -1.06179
82 0.168651 0.0512105 0.194491 -0.0632299 0.194491
83 0.628682 0.417667 0.535182 0.505491 0.535182
84 0.509438 0.576386 0.581707 0.837771 0.581707
85 0.529094 0.706502 -1.31075 0.432576 -1.31075
86 0.488391 0.587815 0.197553 0.77013 0.197553
87 0.590007 0.903352 -0.21747 0.681477 -0.21747
88 0.51351 0.0309432 -0.17968 0.718794 -0.17968
89 0.178414 0.0281124 -0.337389 -0.0770973 -0.337389
90 0.8059 0.323699 -0.317318 -0.103763 -0.317318
91 0.205784 0.493564 -0.517713 -0.514191 -0.517713
92 0.882204 0.579585 0.0815101 -0.362194 0.0815101
93 0.317708 0.99817 -0.722729 0.184764 -0.722729
94 0.163658 0.8727 0.0939044 -0.525996 0.0939044
95 0.533342 0.203568 0.557203 0.378102 0.557203
96 0.0268545 0.296552 -0.198725 -0.130371 -0.198725
97 0.893826 0.409399 -0.858837 -0.327316 -0.858837
98 0.324674 0.993634 -0.45915 0.21784 -0.45915
99 0.501274 0.0264506 -0.0902821 0.735046 -0.0902821
100 0.225028 0.31596 -0.140192 0.3451 -0.140192
101 0.539576 0.203688 0.372569 0.371722 0.372569
102 0.0275107 0.312453 -0.166754 -0.262965 -0.166754
103 0.0346956 0.413749 -0.698339 -1.08053 -0.698339
104 0.146062 0.694291 0.0590354 -0.590605 0.0590354
105 0.0100561 0.672742 -1.06844 -0.963964 -1.06844
106 0.68064 0.00476002 0.568966 0.666659 0.568966
107 0.677659 0.00155398 0.0730622 0.675437 0.0730622
108 0.891422 0.963596 0.144499 -0.370828 0.144499
109 0.168675 0.891963 -0.404447 -0.521548 -0.404447
110 0.96137 0.296949 -1.4064 -0.746969 -1.4064
111 0.666462 0.0127635 0.245688 0.657965 0.245688
112 0.311586 0.00368697 0.433181 0.398646 0.433181
113 0.880503 0.017646 -0.257159 -0.169925 -0.257159
114 0.475669 0.178921 0.397549 0.465012 0.397549
115 0.30137 0.581427 -0.615778 -0.0617982 -0.615778
116 0.827415 0.315812 -0.945182 -0.195184 -0.945182
117 0.299592 0.568472 0.707357 -0.0518619 0.707357
118 0.80281 0.329808 -0.403267 -0.0859342 -0.403267
119 0.320342 0.978116 0.291994 0.164667 0.291994
120 0.00694674 0.0158435 -0.67491 -1.07923 -0.67491
121 0.911891 0.970635 -0.752036 -0.442157 -0.752036
122 0.476841 0.554283 -0.512735 0.819141 -0.512735
123 0.76443 0.749737 0.0358126 0.275776 0.0358126
124 0.43112 0.952378 0.108941 0.717189 0.108941
125 0.800881 0.148611 0.211516 0.0420369 0.211516
126 0.300397 0.682941 0.865227 -0.208294 0.865227
127 0.710508 0.51116 -0.0353273 0.380067 -0.0353273
128 0.607995 0.898271 -0.325335 0.628489 -0.325335
129 0.00568743 0.661676 -0.536974 -1.0408 -0.536974
130 0.723351 0.977066 1.0218 0.344864 1.0218
131 0.247583 0.32285 0.118651 0.393403 0.118651
132 0.739409 0.496709 0.582146 0.277286 0.582146
133 0.190126 0.478678 -0.412052 -0.554612 -0.412052
134 0.800836 0.130617 -0.632426 0.0772569 -0.632426
135 0.323774 0.899842 -0.120685 0.0415393 -0.120685
136 0.377339 0.461997 0.186839 0.460376 0.186839
137 0.476259 0.927391 0.472351 0.870543 0.472351
138 0.428046 0.762624 0.239354 0.121339 0.239354
139 0.476815 0.163082 0.573142 0.488674 0.573142
140 0.396009 0.489878 0.454966 0.55062 0.454966
141 0.17038 0.436569 -0.401843 -0.467676 -0.401843
142 0.896078 0.760531 -0.558521 -0.874949 -0.558521
143 0.38039 0.449312 0.833856 0.474113 0.833856
144 0.884531 0.745153 -0.986261 -0.784851 -0.986261
145 0.0126723 5.00866e-05 -1.36068 -1.13361 -1.36068
146 0.408958 0.769287 0.094319 0.0797722 0.094319
147 0.882476 0.585283 0.11351 -0.377424 0.11351
148 0.231702 0.317107 -0.155323 0.36216 -0.155323
149 0.300835 0.685196 0.813055 -0.209869 0.813055
150 0.0678546 0.435835 -0.512875 -1.06823 -0.512875
151 0.0317229 0.30383 -0.214632 -0.177601 -0.214632
152 0.861628 0.959569 0.478975 -0.245835 0.478975
153 0.600988 0.882885 -0.510986 0.613302 -0.510986
154 0.497193 0.0336601 0.684595 0.718138 0.684595
155 0.387443 0.290535 0.459703 0.480407 0.459703
156 0.26734 0.169721 0.467266 0.528243 0.467266
157 0.641638 0.407306 -0.34345 0.452561 -0.34345
158 0.514297 0.719791 -0.45075 0.39644 -0.45075
159 0.0535683 0.784669 -1.19279 -0.575973 -1.19279
160 0.0307845 0.417158 -0.918966 -1.13024 -0.918966
161 0.295995 0.609265 -0.860333 -0.124119 -0.860333
162 0.949609 0.569177 -0.828264 -0.655622 -0.828264
163 0.484852 0.149486 0.717869 0.509641 0.717869
164 0.53488 0.212237 -0.197305 0.360101 -0.197305
165 0.987529 0.0577475 -0.716672 -0.820556 -0.716672
166 0.0270739 0.80249 0.238038 -0.642996 0.238038
167 0.0297443 0.163296 0.125896 -0.182567 0.125896
168 0.962409 0.620434 -0.868837 -0.936215 -0.868837
169 0.284479 0.608182 0.562327 -0.172286 0.562327
170 0.477013 0.163564 0.738264 0.487912 0.738264
171 0.894857 0.763898 -1.00376 -0.856382 -1.00376
172 0.894418 0.471871 -0.0795041 -0.245002 -0.0795041
173 0.95503 0.311076 0.178113 -0.69915 0.178113
174 0.272057 0.157471 0.337001 0.51178 0.337001
175 0.169436 0.87203 -0.959258 -0.51314 -0.959258
176 0.285779 0.596571 -1.13887 -0.151984 -1.13887
177 0.172323 0.446575 -0.31263 -0.508547 -0.31263
178 0.852888 0.781924 -0.171572 -0.467368 -0.171572
179 0.025566 0.623723 -0.93862 -1.19206 -0.93862
180 0.165033 0.660366 -1.09394 -0.605966 -1.09394
181 0.203083 0.990951 -0.226626 -0.415185 -0.226626
182 0.756143 0.773909 0.784562 0.336117 0.784562
183 0.0316634 0.416246 -1.13261 -1.1178 -1.13261
184 0.864936 0.610922 0.129498 -0.339902 0.129498
185 0.0226705 0.946156 -1.27887 -1.02964 -1.27887
186 0.139521 0.0298354 -0.269272 -0.283026 -0.269272
187 0.286634 0.0258969 0.364869 0.371897 0.364869
188 0.808636 0.142106 0.500625 0.0162842 0.500625
189 0.0320354 0.319268 0.697755 -0.305646 0.697755
190 0.998232 0.0676732 -0.317285 -0.885155 -0.317285
191 0.849889 0.595688 -0.168086 -0.228601 -0.168086
192 0.0281867 0.420716 -0.90583 -1.1745 -0.90583
193 0.496227 0.563734 0.783379 0.882121 0.783379
194 0.432953 0.949576 -0.653321 0.718379 -0.653321
195 0.379408 0.287119 -0.0235304 0.482682 -0.0235304
196 0.849753 3.96248e-05 0.712307 0.0382626 0.712307
197 0.307629 0.0316621 0.654834 0.412255 0.654834
198 0.178479 0.883884 0.101582 -0.495627 0.101582
199 0.0125936 0.968795 -0.32218 -1.12724 -0.32218
200 0.804048 0.325977 -0.199828 -0.0944032 -0.199828
201 0.94431 0.167434 -0.581804 -0.678358 -0.581804
202 0.629051 0.595889 -0.556822 0.542898 -0.556822
203 0.453168 0.951493 0.784601 0.833323 0.784601
204 0.0433552 0.163979 -0.160701 -0.1356 -0.160701
205 0.39054 0.803782 0.462507 0.11009 0.462507
206 0.462337 0.943603 0.138252 0.855486 0.138252
207 0.042732 0.29231 -0.00662038 -0.0515376 -0.00662038
208 0.316267 0.911111 -0.125861 0.0251876 -0.125861
209 0.0384041 0.417431 -0.0563618 -1.09073 -0.0563618
210 0.897367 0.769079 -0.563781 -0.865584 -0.563781
211 0.23097 0.309819 -0.036826 0.388406 -0.036826
212 0.908175 0.971051 -0.105468 -0.425193 -0.105468
213 0.95034 0.176595 -0.682865 -0.714927 -0.682865
214 0.0363958 0.170822 -0.572392 -0.122913 -0.572392
215 0.593994 0.911946 -0.492277 0.690528 -0.492277
216 0.0496293 0.15099 -0.131185 -0.178948 -0.131185
217 0.473055 0.154713 -0.312128 0.501524 -0.312128
218 0.0412027 0.170634 0.538034 -0.109072 0.538034
219 0.859061 0.778993 -0.0581638 -0.523029 -0.0581638
220 0.882638 0.746516 -1.06529 -0.77148 -1.06529
221 0.302547 0.000880446 -0.411935 0.37811 -0.411935
222 0.967874 0.611678 0.592945 -0.929859 0.592945
223 0.0338974 0.784288 -0.728251 -0.590541 -0.728251
224 0.35261 0.879211 0.781144 0.134816 0.781144
225 0.490597 0.558077 0.146202 0.873305 0.146202
226 0.383378 0.445703 0.407911 0.48583 0.407911
227 0.0126633 0.7602 -0.809317 -0.539291 -0.809317
228 0.864236 0.606953 0.39866 -0.327929 0.39866
229 0.672765 0.012671 0.860948 0.654265 0.860948
230 0.994243 0.635289 -0.834499 -1.19944 -0.834499
231 0.88094 0.961292 0.0125471 -0.329258 0.0125471
232 0.99235 0.956328 -0.939026 -0.848871 -0.939026
233 0.741568 0.770258 0.313067 0.390064 0.313067
